number	file	title	historical_record_sha256
0001	0001-repo-mst-cid-signing-crate-family-atrium-rs-not-atproto-repo.md	Repo/MST/CID/signing crate family: `atrium-rs`, not `atproto-repo`	4fbf745e19dc8b22857cf555eb4de3e62f48f674eca5fd36b9cb8a3ccb6cc2e2
0002	0002-single-binary-one-crate.md	Single binary, one crate	9a6d2d5568fabb2abcf4c6c999f328c96d7d6374353cb4cac76667c49b96d34d
0003	0003-store-location-repo-local-kan.md	Store location: repo-local `.kan/`	10ce6927eaf3f0bafeaea521814873256ab0e9e26029a26c5e46191ec82f03e4
0004	0004-local-only-identity-self-generated-did-key.md	Local-only identity: self-generated `did:key`	244aac934d27db2e5e58001c01f49d5909f1a307f1f68df79bbef98c125db0a8
0005	0005-body-typing-structural-narrative-split-claimkind-body-merged.md	Body typing: structural/narrative split, `ClaimKind`+`Body` merged	0f242cb0dc31aaf0182bb3aab55d84f019a301d92c2c58ae72dce6084db825e1
0006	0006-retraction-option-b-as-specified-retract-the-retraction-as-undo.md	Retraction: Option B as specified, retract-the-retraction as undo	480bb303d1083e38730e8b2dffdeff6ade2b4b50cccc443955fb03025ad643e5
0007	0007-hard-delete-storage-layer-only-in-v1-no-cli-verb.md	Hard-delete: storage-layer only in v1, no CLI verb	ee0338390cd2c587c6b8833e9ed449b54285eb2ab6d842e0afefce61ace04a68
0008	0008-atrium-repo-atrium-crypto-api-fit-confirmed-by-spike.md	`atrium-repo`/`atrium-crypto` API fit confirmed by spike	f9d28d7d985ce1dc1947d3afa332c29493c8eec93e6dc9211e533154a2fc8e22
0009	0009-token-budget-estimation-tiktoken-rs-behind-a-tokenestimator-trait.md	Token-budget estimation: `tiktoken-rs` behind a `TokenEstimator` trait	dd2d82cf42e72345013924380fb1f75c69110dc3d18292746d7f7a0b6e6a865d
0010	0010-mcp-tool-surface-one-tool-per-cli-verb.md	MCP tool surface: one `#[tool]` per CLI verb	6fbe6bb619cbdd30d5f1599d65ec2f1e7e4ad4d94caa7d034b17c2565c0fa62a
0011	0011-confirmed-atrium-repo-s-mst-silently-loses-data-at-ordinary-scale.md	CONFIRMED: `atrium-repo`'s MST silently loses data at ordinary scale	40f9f068b0b7546440f10eb528977392e7804fbafa2fa1356dc0897944d7e383
0012	0012-switch-store-log-rs-from-atrium-repo-to-atproto-repo.md	Switch `store/log.rs` from `atrium-repo` to `atproto-repo`	5d871bfa2ceb51d515fcb67974669c4a2df7d1e581dff15d3af9ef0bddbf06f5
0013	0013-make-log-append-genuinely-incremental-not-a-full-rewrite.md	Make `Log::append` genuinely incremental, not a full rewrite	9d760f447cb64cae7f60e4299e4bf32ff95bae9968a7df57a880f7582032cd00
0014	0014-m4b-state-fold-git-genesis-anchors-relationprovider-s-via-shelling-out-t.md	M4b: state fold, git-genesis anchors, `RelationProvider`s via shelling out to `git`	a6c6eb5204556b9998ef3e47c985400cfe90471dfb7fdeab7899a8ff5c939a99
0015	0015-m5-one-action-layer-for-cli-mcp-round-robin-greedy-context-assembly.md	M5: one action layer for CLI + MCP; round-robin greedy context assembly	f885113c98386e9fa32ce0ca968d7abcc633484653ad9882bb8c2573a41047bb
0016	0016-confirmed-and-fixed-cross-author-retraction-wasn-t-gated-by-same-author.md	CONFIRMED and FIXED: cross-author `Retraction` wasn't gated by same-author (or any trust)	ce93329a826667feded702b9c7a515e90d44e996ded6ba5a424eb2dffbc9046e
0017	0017-software-review-pass-fixes-bugs-2-6-anti-patterns-testing-gaps-docs.md	Software-review-pass fixes: bugs #2–#6, anti-patterns, testing gaps, docs	88367aedb535ca211b60b2bd6973a470e5723f4991d422aa2538aaadc5a23be0
